Probe Set Name	Description
14057_at	sideroflexin 1
140570_at	plexin B2
140571_at	plexin B3
140577_at	ankyrin repeat domain 6
140579_at	engulfment and cell motility 2
14058_at	coagulation factor X
140580_at	engulfment and cell motility 1
14060_at	coagulation factor XIII, beta subunit
14061_at	coagulation factor II
14062_at	coagulation factor II (thrombin) receptor
140629_at	U box domain containing 5
14063_at	coagulation factor II (thrombin) receptor-like 1
140630_at	ubiquitination factor E4A, UFD2 homolog (S. cerevisiae)
14064_at	coagulation factor II (thrombin) receptor-like 2
14065_at	coagulation factor II (thrombin) receptor-like 3
14066_at	coagulation factor III
14067_at	coagulation factor V
14068_at	coagulation factor VII
14069_at	coagulation factor VIII
14070_at	factor 8-associated gene A
140703_at	EMI domain containing 1
140709_at	EMI domain containing 2
14071_at	coagulation factor IX
140721_at	CASK-interacting protein 2
140723_at	calcium channel, voltage-dependent, gamma subunit 5
14073_at	fatty acid amide hydrolase
140740_at	SEC63-like (S. cerevisiae)
140741_at	G protein-coupled receptor 6
140742_at	sestrin 1
140743_at	rad and gem related GTP binding protein 2
140765_at	transmembrane protease, serine 3
140780_at	BMP2 inducible kinase
140781_at	myosin, heavy polypeptide 7, cardiac muscle, beta
14079_at	fatty acid binding protein 2, intestinal
140792_at	collectin sub-family member 12
140795_at	purinergic receptor P2Y, G-protein coupled, 14
14080_at	fatty acid binding protein 1, liver
140806_at	interleukin 25
14081_at	acyl-CoA synthetase long-chain family member 1
140810_at	tau tubulin kinase 2
14082_at	Fas (TNFRSF6)-associated via death domain
14083_at	PTK2 protein tyrosine kinase 2
14084_at	Fas-associated factor 1
14085_at	fumarylacetoacetate hydrolase
140858_at	WD repeat domain 5
140859_at	NIMA (never in mitosis gene a)-related expressed kinase 8
14086_at	fascin homolog 1, actin bundling protein (Strongylocentrotus purpuratus)
14087_at	Fanconi anemia, complementation group A
14088_at	Fanconi anemia, complementation group C
140887_at	ligand of numb-protein X 2
14089_at	fibroblast activation protein
140904_at	calneuron 1
140917_at	DNA cross-link repair 1B, PSO2 homolog (S. cerevisiae)
140918_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 12
140919_at	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6
14102_at	Fas (TNF receptor superfamily member 6)
14103_at	Fas ligand (TNF superfamily, member 6)
14104_at	fatty acid synthase
14105_at	serine/arginine-rich splicing factor 10
14106_at	forkhead box H1
14107_at	FAT tumor suppressor homolog 1 (Drosophila)
14113_at	fibrillarin
14114_at	fibulin 1
14115_at	fibulin 2
14118_at	fibrillin 1
14119_at	fibrillin 2
14120_at	fructose bisphosphatase 2
14121_at	fructose bisphosphatase 1
14123_at	fibrosin
14125_at	Fc receptor, IgE, high affinity I, alpha polypeptide
14126_at	membrane-spanning 4-domains, subfamily A, member 2
14127_at	Fc receptor, IgE, high affinity I, gamma polypeptide
14128_at	Fc receptor, IgE, low affinity II, alpha polypeptide
14129_at	Fc receptor, IgG, high affinity I
14130_at	Fc receptor, IgG, low affinity IIb
14131_at	Fc receptor, IgG, low affinity III
14132_at	Fc receptor, IgG, alpha chain transporter
14133_at	ficolin A
14134_at	ficolin B
14137_at	farnesyl diphosphate farnesyl transferase 1
14148_at	ferredoxin 1
14149_at	ferredoxin reductase
14151_at	ferrochelatase
14154_at	feminization 1 homolog a (C. elegans)
14155_at	feminization 1 homolog b (C. elegans)
14156_at	flap structure specific endonuclease 1
14158_at	fer (fms/fps related) protein kinase, testis specific 2
14159_at	feline sarcoma oncogene
14160_at	leucine rich repeat containing G protein coupled receptor 5
14161_at	fibrinogen alpha chain
14163_at	FYVE, RhoGEF and PH domain containing 1
14164_at	fibroblast growth factor 1
14165_at	fibroblast growth factor 10
14166_at	fibroblast growth factor 11
14167_at	fibroblast growth factor 12
14168_at	fibroblast growth factor 13
14169_at	fibroblast growth factor 14
14170_at	fibroblast growth factor 15
14171_at	fibroblast growth factor 17
14172_at	fibroblast growth factor 18
14173_at	fibroblast growth factor 2
14174_at	fibroblast growth factor 3
14175_at	fibroblast growth factor 4
14176_at	fibroblast growth factor 5
14177_at	fibroblast growth factor 6
14178_at	fibroblast growth factor 7
14179_at	fibroblast growth factor 8
14180_at	fibroblast growth factor 9
14181_at	fibroblast growth factor binding protein 1
14182_at	fibroblast growth factor receptor 1
14183_at	fibroblast growth factor receptor 2
14184_at	fibroblast growth factor receptor 3
14186_at	fibroblast growth factor receptor 4
14187_at	aldo-keto reductase family 1, member B8
14190_at	fibrinogen-like protein 2
14191_at	Gardner-Rasheed feline sarcoma viral (Fgr) oncogene homolog
14194_at	fumarate hydratase 1
14198_at	fragile histidine triad gene
14199_at	four and a half LIM domains 1
14200_at	four and a half LIM domains 2
14201_at	four and a half LIM domains 3
14202_at	four and a half LIM domains 4
14205_at	c-fos induced growth factor
14208_at	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform
14211_at	structural maintenance of chromosomes 2
14218_at	SH3 and PX domains 2A
14219_at	connective tissue growth factor
14221_at	four jointed box 1 (Drosophila)
14225_at	FK506 binding protein 1a
14226_at	FK506 binding protein 1b
14227_at	FK506 binding protein 2
14228_at	FK506 binding protein 4
14229_at	FK506 binding protein 5
14230_at	FK506 binding protein 10
14231_at	FK506 binding protein 7
14232_at	FK506 binding protein 8
14233_at	forkhead box I1
14234_at	forkhead box C2
14235_at	forkhead box M1
14236_at	forkhead box N2
14237_at	forkhead box D4
14238_at	forkhead box F2
14239_at	forkhead box S1
14240_at	forkhead box B2
14241_at	forkhead box L1
14245_at	lipin 1
14247_at	Friend leukemia integration 1
14248_at	flightless I homolog (Drosophila)
14251_at	flotillin 1
14252_at	flotillin 2
14254_at	FMS-like tyrosine kinase 1
14255_at	FMS-like tyrosine kinase 3
14256_at	FMS-like tyrosine kinase 3 ligand
14257_at	FMS-like tyrosine kinase 4
14260_at	formin 1
14261_at	flavin containing monooxygenase 1
14262_at	flavin containing monooxygenase 3
14263_at	flavin containing monooxygenase 5
14264_at	fibromodulin
14265_at	fragile X mental retardation syndrome 1
14266_at	AF4/FMR2 family, member 2
14268_at	fibronectin 1
142681_at	solute carrier family 34 (sodium phosphate), member 3
142682_at	zinc finger, CCHC domain containing 14
142687_at	ankyrin repeat and SOCS box-containing 14
142688_at	ankyrin repeat and SOCS box-containing 13
14269_at	formin binding protein 1
14270_at	SLIT-ROBO Rho GTPase activating protein 2
14272_at	farnesyltransferase, CAAX box, alpha
14275_at	folate receptor 1 (adult)
14276_at	folate receptor 2 (fetal)
14281_at	FBJ osteosarcoma oncogene
14282_at	FBJ osteosarcoma oncogene B
14283_at	fos-like antigen 1
14284_at	fos-like antigen 2
14287_at	folylpolyglutamyl synthetase
14289_at	formyl peptide receptor 2
14290_at	formyl peptide receptor, related sequence 3
14291_at	formyl peptide receptor, related sequence 4
14293_at	formyl peptide receptor 1
14294_at	formyl peptide receptor 3
14296_at	frequently rearranged in advanced T cell lymphomas
14297_at	frataxin
142980_at	toll-like receptor 3
14299_at	neuronal calcium sensor 1
14300_at	FSHD region gene 1
14302_at	fyn-related kinase
14308_at	follicle stimulating hormone beta
14309_at	follicle stimulating hormone receptor
14311_at	cell death-inducing DFFA-like effector c
14312_at	bromodomain containing 2
14313_at	follistatin
14314_at	follistatin-like 1
14317_at	formiminotransferase cyclodeaminase
14319_at	ferritin heavy chain 1
14339_at	thymoma viral proto-oncogene 1 interacting protein
14343_at	fucosyltransferase 1
14344_at	fucosyltransferase 2
14345_at	fucosyltransferase 4
14347_at	fucosyltransferase 7
14348_at	fucosyltransferase 9
14349_at	Friend virus susceptibility 1
14356_at	fractured callus expressed transcript 1
14357_at	deltex 1 homolog (Drosophila)
14359_at	fragile X mental retardation gene 1, autosomal homolog
14360_at	Fyn proto-oncogene
14362_at	frizzled homolog 1 (Drosophila)
14365_at	frizzled homolog 3 (Drosophila)
14366_at	frizzled homolog 4 (Drosophila)
14367_at	frizzled homolog 5 (Drosophila)
14368_at	frizzled homolog 6 (Drosophila)
14369_at	frizzled homolog 7 (Drosophila)
14370_at	frizzled homolog 8 (Drosophila)
14371_at	frizzled homolog 9 (Drosophila)
14373_at	G0/G1 switch gene 2
14375_at	X-ray repair complementing defective repair in Chinese hamster cells 6
14376_at	alpha glucosidase 2 alpha neutral subunit
14377_at	glucose-6-phosphatase, catalytic
14378_at	glucose-6-phosphatase, catalytic, 2
14380_at	glucose-6-phosphate dehydrogenase 2
14381_at	glucose-6-phosphate dehydrogenase X-linked
14385_at	solute carrier family 37 (glucose-6-phosphate transporter), member 4
14387_at	glucosidase, alpha, acid
14388_at	growth factor receptor bound protein 2-associated protein 1
14389_at	growth factor receptor bound protein 2-associated protein 2
14390_at	GA repeat binding protein, alpha
14391_at	GA repeat binding protein, beta 1
14394_at	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1
14395_at	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2
14396_at	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3
14397_at	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4
14399_at	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6
14400_at	gamma-aminobutyric acid (GABA) A receptor, subunit beta 1
14401_at	gamma-aminobutyric acid (GABA) A receptor, subunit beta 2
14402_at	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3
14403_at	gamma-aminobutyric acid (GABA) A receptor, subunit delta
14404_at	gamma-aminobutyric acid (GABA) A receptor, subunit epsilon
14405_at	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1
14406_at	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2
14407_at	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 3
14408_at	gamma-aminobutyric acid (GABA) C receptor, subunit rho 1
14409_at	gamma-aminobutyric acid (GABA) C receptor, subunit rho 2
14411_at	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12
14412_at	solute carrier family 6 (neurotransmitter transporter, GABA), member 13
14415_at	glutamate decarboxylase 1
14417_at	glutamic acid decarboxylase 2
14419_at	galanin
14420_at	galactosylceramidase
14421_at	beta-1,4-N-acetyl-galactosaminyl transferase 1
14422_at	beta-1,4-N-acetyl-galactosaminyl transferase 2
14423_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1
14425_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3
14426_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4
14427_at	galanin receptor 1
14428_at	galanin receptor 2
14429_at	galanin receptor 3
14430_at	galactose-1-phosphate uridyl transferase
14431_at	guanidinoacetate methyltransferase
14432_at	growth associated protein 43
14447_at	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
14450_at	phosphoribosylglycinamide formyltransferase
14451_at	growth arrest specific 1
14453_at	growth arrest specific 2
14455_at	growth arrest specific 5
14456_at	growth arrest specific 6
14457_at	growth arrest specific 7
14459_at	gastrin
14460_at	GATA binding protein 1
14461_at	GATA binding protein 2
14462_at	GATA binding protein 3
14463_at	GATA binding protein 4
14464_at	GATA binding protein 5
14465_at	GATA binding protein 6
14466_at	glucosidase, beta, acid
14467_at	glioblastoma amplified sequence
14468_at	guanylate binding protein 1
14469_at	guanylate binding protein 2
14470_at	Rab acceptor 1 (prenylated)
14472_at	gastrulation brain homeobox 2
14473_at	group specific component
14479_at	ubiquitin specific peptidase 15
14489_at	myotrophin
14525_at	germinal center expressed transcript 2
14526_at	glucagon
14527_at	glucagon receptor
14528_at	GTP cyclohydrolase 1
14531_at	glial cells missing homolog 1 (Drosophila)
14533_at	biogenesis of lysosome-related organelles complex-1, subunit 1
14534_at	K(lysine) acetyltransferase 2A
14536_at	nuclear receptor subfamily 6, group A, member 1
14537_at	glucosaminyl (N-acetyl) transferase 1, core 2
14538_at	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme
14539_at	opsin 1 (cone pigments), medium-wave-sensitive (color blindness, deutan)
14544_at	guanine deaminase
14545_at	ganglioside-induced differentiation-associated-protein 1
14547_at	ganglioside-induced differentiation-associated-protein 2
14548_at	mitochondrial ribosomal protein S33
14555_at	glycerol-3-phosphate dehydrogenase 1 (soluble)
14560_at	growth differentiation factor 10
14561_at	growth differentiation factor 11
14562_at	growth differentiation factor 3
14563_at	growth differentiation factor 5
14566_at	growth differentiation factor 9
14567_at	guanosine diphosphate (GDP) dissociation inhibitor 1
14569_at	guanosine diphosphate (GDP) dissociation inhibitor 2
14570_at	Rho GDP dissociation inhibitor (GDI) gamma
14571_at	glycerol phosphate dehydrogenase 2, mitochondrial
14573_at	glial cell line derived neurotrophic factor
14579_at	GTP binding protein (gene overexpressed in skeletal muscle)
14580_at	glial fibrillary acidic protein
14581_at	growth factor independent 1
14582_at	growth factor independent 1B
14583_at	glutamine fructose-6-phosphate transaminase 1
14584_at	glutamine fructose-6-phosphate transaminase 2
14585_at	glial cell line derived neurotrophic factor family receptor alpha 1
14586_at	glial cell line derived neurotrophic factor family receptor alpha 2
14587_at	glial cell line derived neurotrophic factor family receptor alpha 3
14588_at	glial cell line derived neurotrophic factor family receptor alpha 4
14590_at	gamma-glutamyl hydrolase
14593_at	geranylgeranyl diphosphate synthase 1
14594_at	glycoprotein galactosyltransferase alpha 1, 3
14595_at	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
14598_at	gamma-glutamyltransferase 1
14599_at	growth hormone
14600_at	growth hormone receptor
14601_at	growth hormone releasing hormone
14602_at	growth hormone releasing hormone receptor
14603_at	gastric intrinsic factor
14605_at	TSC22 domain family, member 3
14607_at	gastric inhibitory polypeptide
14608_at	G protein-coupled receptor 83
14609_at	gap junction protein, alpha 1
14610_at	gap junction protein, alpha 10
14611_at	gap junction protein, alpha 3
14612_at	gap junction protein, alpha 4
14613_at	gap junction protein, alpha 5
14615_at	gap junction protein, gamma 1
14616_at	gap junction protein, alpha 8
14617_at	gap junction protein, delta 2
14618_at	gap junction protein, beta 1
14619_at	gap junction protein, beta 2
14620_at	gap junction protein, beta 3
14621_at	gap junction protein, beta 4
14622_at	gap junction protein, beta 5
14623_at	gap junction protein, beta 6
14625_at	glycerol kinase-like 1
14626_at	glycerol kinase 2
14628_at	osteopetrosis associated transmembrane protein 1
14629_at	glutamate-cysteine ligase, catalytic subunit
14630_at	glutamate-cysteine ligase, modifier subunit
14632_at	GLI-Kruppel family member GLI1
14633_at	GLI-Kruppel family member GLI2
14634_at	GLI-Kruppel family member GLI3
14635_at	galactokinase 1
14645_at	glutamate-ammonia ligase (glutamine synthetase)
14651_at	hydroxyacyl glutathione hydrolase
14652_at	glucagon-like peptide 1 receptor
14654_at	glycine receptor, alpha 1 subunit
14657_at	glycine receptor, alpha 4 subunit
14658_at	glycine receptor, beta subunit
14659_at	glutamine repeat protein 1
14660_at	glutaminase
14661_at	glutamate dehydrogenase 1
14663_at	glycosylation dependent cell adhesion molecule 1
14664_at	solute carrier family 6 (neurotransmitter transporter, glycine), member 9
14667_at	GM2 ganglioside activator protein
14670_at	guanine nucleotide binding protein-like 1
14672_at	guanine nucleotide binding protein, alpha 11
14673_at	guanine nucleotide binding protein, alpha 12
14674_at	guanine nucleotide binding protein, alpha 13
14675_at	guanine nucleotide binding protein, alpha 14
14676_at	guanine nucleotide binding protein, alpha 15
14677_at	guanine nucleotide binding protein (G protein), alpha inhibiting 1
14678_at	guanine nucleotide binding protein (G protein), alpha inhibiting 2
14679_at	guanine nucleotide binding protein (G protein), alpha inhibiting 3
14680_at	guanine nucleotide binding protein, alpha stimulating, olfactory type
14681_at	guanine nucleotide binding protein, alpha O
14682_at	guanine nucleotide binding protein, alpha q polypeptide
14683_at	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus
14685_at	guanine nucleotide binding protein, alpha transducing 1
14686_at	guanine nucleotide binding protein, alpha transducing 2
14687_at	guanine nucleotide binding protein, alpha z subunit
14688_at	guanine nucleotide binding protein (G protein), beta 1
14693_at	guanine nucleotide binding protein (G protein), beta 2
14694_at	guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1
14695_at	guanine nucleotide binding protein (G protein), beta 3
14696_at	guanine nucleotide binding protein (G protein), beta 4
14697_at	guanine nucleotide binding protein (G protein), beta 5
14699_at	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1
14700_at	guanine nucleotide binding protein (G protein), gamma 10
14701_at	guanine nucleotide binding protein (G protein), gamma 12
14702_at	guanine nucleotide binding protein (G protein), gamma 2
14704_at	guanine nucleotide binding protein (G protein), gamma 3
14705_at	Bernardinelli-Seip congenital lipodystrophy 2 homolog (human)
14706_at	guanine nucleotide binding protein (G protein), gamma 4
14707_at	guanine nucleotide binding protein (G protein), gamma 5
14708_at	guanine nucleotide binding protein (G protein), gamma 7
14709_at	guanine nucleotide binding protein (G protein), gamma 8
14710_at	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2
14711_at	glycine N-methyltransferase
14712_at	glyceronephosphate O-acyltransferase
14714_at	gonadotropin releasing hormone 1
14715_at	gonadotropin releasing hormone receptor
14718_at	glutamate oxaloacetate transaminase 1, soluble
14723_at	glycoprotein 1b, alpha polypeptide
14724_at	glycoprotein Ib, beta polypeptide
14725_at	low density lipoprotein receptor-related protein 2
14726_at	podoplanin
14727_at	glycoprotein 49 A
14728_at	leukocyte immunoglobulin-like receptor, subfamily B, member 4
14729_at	glycoprotein 5 (platelet)
14731_at	GPI anchor attachment protein 1
14732_at	glycerol-3-phosphate acyltransferase, mitochondrial
14733_at	glypican 1
14734_at	glypican 3
14735_at	glypican 4
14738_at	G-protein coupled receptor 12
14739_at	sphingosine-1-phosphate receptor 2
14744_at	G-protein coupled receptor 65
14745_at	lysophosphatidic acid receptor 1
14747_at	chemokine-like receptor 1
14748_at	G-protein coupled receptor 3
14751_at	glucose phosphate isomerase 1
14755_at	phosphatidylinositol glycan anchor biosynthesis, class Q
14756_at	glycosylphosphatidylinositol specific phospholipase D1
14758_at	glycoprotein m6b
14760_at	G protein-coupled receptor 19
14761_at	G protein-coupled receptor 27
14762_at	G protein-coupled receptor 33
14763_at	G protein-coupled receptor 37
14764_at	G protein-coupled receptor 44
14765_at	G-protein-coupled receptor 50
14766_at	G protein-coupled receptor 56
14767_at	neuromedin U receptor 1
14768_at	LanC (bacterial lantibiotic synthetase component C)-like 1
14772_at	G protein-coupled receptor kinase 4
14773_at	G protein-coupled receptor kinase 5
14775_at	glutathione peroxidase 1
14776_at	glutathione peroxidase 2
14778_at	glutathione peroxidase 3
14780_at	glutathione peroxidase 5
14782_at	glutathione reductase
14783_at	growth factor receptor bound protein 10
14784_at	growth factor receptor bound protein 2
14786_at	growth factor receptor bound protein 7
14787_at	rhophilin, Rho GTPase binding protein 1
14788_at	G protein-coupled receptor 162
14789_at	leprecan-like 2
14790_at	gene rich cluster, C10 gene
14791_at	EMG1 nucleolar protein homolog (S. cerevisiae)
14792_at	lysophosphatidylcholine acyltransferase 3
14793_at	cell division cycle associated 3
14794_at	splA/ryanodine receptor domain and SOCS box containing 2
14797_at	amino-terminal enhancer of split
14799_at	glutamate receptor, ionotropic, AMPA1 (alpha 1)
14800_at	glutamate receptor, ionotropic, AMPA2 (alpha 2)
14802_at	glutamate receptor, ionotropic, AMPA4 (alpha 4)
14803_at	glutamate receptor, ionotropic, delta 1
14804_at	glutamate receptor, ionotropic, delta 2
14805_at	glutamate receptor, ionotropic, kainate 1
14806_at	glutamate receptor, ionotropic, kainate 2 (beta 2)
14807_at	glutamate receptor, ionotropic, kainate 3
14809_at	glutamate receptor, ionotropic, kainate 5 (gamma 2)
14810_at	glutamate receptor, ionotropic, NMDA1 (zeta 1)
14811_at	glutamate receptor, ionotropic, NMDA2A (epsilon 1)
14812_at	glutamate receptor, ionotropic, NMDA2B (epsilon 2)
14813_at	glutamate receptor, ionotropic, NMDA2C (epsilon 3)
14814_at	glutamate receptor, ionotropic, NMDA2D (epsilon 4)
14815_at	nuclear receptor subfamily 3, group C, member 1
14816_at	glutamate receptor, metabotropic 1
14823_at	glutamate receptor, metabotropic 8
14824_at	granulin
14825_at	chemokine (C-X-C motif) ligand 1
14827_at	protein disulfide isomerase associated 3
14828_at	heat shock protein 5
14829_at	gastrin releasing peptide receptor
14836_at	goosecoid homeobox
14840_at	germ cell-specific gene 1
14841_at	germ cell-specific gene 2
14842_at	GS homeobox 1
14843_at	GS homeobox 2
14852_at	G1 to S phase transition 1
14853_at	G1 to S phase transition 2
14854_at	glutathione synthetase
14858_at	glutathione S-transferase, alpha 2 (Yc2)
14859_at	glutathione S-transferase, alpha 3
14860_at	glutathione S-transferase, alpha 4
14862_at	glutathione S-transferase, mu 1
14863_at	glutathione S-transferase, mu 2
14864_at	glutathione S-transferase, mu 3
14865_at	glutathione S-transferase, mu 4
14866_at	glutathione S-transferase, mu 5
14867_at	glutathione S-transferase, mu 6
14870_at	glutathione S-transferase, pi 1
14871_at	glutathione S-transferase, theta 1
14872_at	glutathione S-transferase, theta 2
14873_at	glutathione S-transferase omega 1
14874_at	glutathione transferase zeta 1 (maleylacetoacetate isomerase)
14884_at	general transcription factor II H, polypeptide 1
14885_at	general transcription factor II H, polypeptide 4
14886_at	general transcription factor II I
14894_at	gene trap locus 3
14897_at	thyroid hormone receptor interactor 12
14904_at	GTP binding protein 1
14911_at	THUMP domain containing 3
14912_at	NK6 homeobox 2
14913_at	guanylate cyclase activator 1a (retina)
14915_at	guanylate cyclase activator 2a (guanylin)
14916_at	guanylate cyclase activator 2b (retina)
14917_at	guanylate cyclase 2c
14918_at	guanylate cyclase 2d
14919_at	guanylate cyclase 2e
14923_at	guanylate kinase 1
14924_at	membrane associated guanylate kinase, WW and PDZ domain containing 1
14933_at	glycerol kinase
14934_at	glycophorin A
14936_at	glycogen synthase 1, muscle
14938_at	granzyme A
14939_at	granzyme B
14940_at	granzyme C
14941_at	granzyme D
14942_at	granzyme E
14943_at	granzyme F
14944_at	granzyme G
14945_at	granzyme K
14950_at	histocompatibility 13
14955_at	H19 fetal liver mRNA
14957_at	histone cluster 1, H1d
14958_at	H1 histone family, member 0
14960_at	histocompatibility 2, class II antigen A, alpha
14961_at	histocompatibility 2, class II antigen A, beta 1
14962_at	complement factor B
14963_at	histocompatibility 2, blastocyst
14964_at	histocompatibility 2, D region locus 1
14969_at	histocompatibility 2, class II antigen E beta
14972_at	histocompatibility 2, K1, K region
14976_at	H2-K region expressed gene 2
14977_at	solute carrier family 39 (zinc transporter), member 7
14979_at	H2-K region expressed gene 6
14985_at	histocompatibility 2, M region locus 10.1
14990_at	histocompatibility 2, M region locus 2
14991_at	histocompatibility 2, M region locus 3
14997_at	histocompatibility 2, M region locus 9
14998_at	histocompatibility 2, class II, locus DMa
14999_at	histocompatibility 2, class II, locus Mb1
15000_at	histocompatibility 2, class II, locus Mb2
15001_at	histocompatibility 2, O region alpha locus
15002_at	histocompatibility 2, O region beta locus
15006_at	histocompatibility 2, Q region locus 1
15007_at	histocompatibility 2, Q region locus 10
15013_at	histocompatibility 2, Q region locus 2
15015_at	histocompatibility 2, Q region locus 4
15018_at	histocompatibility 2, Q region locus 7
15024_at	histocompatibility 2, T region locus 10
15039_at	histocompatibility 2, T region locus 22
15040_at	histocompatibility 2, T region locus 23
15042_at	histocompatibility 2, T region locus 24
15043_at	histocompatibility 2, T region locus 3
15051_at	histocompatibility 2, T region locus 9
15061_at	histocompatibility 28
15064_at	major histocompatibility complex, class I-related
15077_at	histone cluster 2, H3c1
15078_at	H3 histone, family 3A
15081_at	H3 histone, family 3B
15107_at	hydroxyacyl-Coenzyme A dehydrogenase
15108_at	hydroxysteroid (17-beta) dehydrogenase 10
15109_at	histidine ammonia lyase
15110_at	heart and neural crest derivatives expressed transcript 1
15111_at	heart and neural crest derivatives expressed transcript 2
15112_at	hydroxyacid oxidase 1, liver
15114_at	huntingtin-associated protein 1
15115_at	histidyl-tRNA synthetase
15116_at	hyaluronan synthase1
15117_at	hyaluronan synthase 2
15118_at	hyaluronan synthase 3
15126_at	hemoglobin X, alpha-like embryonic chain in Hba complex
15129_at	hemoglobin, beta adult major chain
15132_at	hemoglobin Z, beta-like embryonic chain
15135_at	hemoglobin Y, beta-like embryonic chain
15139_at	hemolytic complement
15159_at	holocytochrome c synthetase
15160_at	serine (or cysteine) peptidase inhibitor, clade D, member 1
15161_at	host cell factor C1
15162_at	hemopoietic cell kinase
15163_at	hematopoietic cell specific Lyn substrate 1
15165_at	hyperpolarization-activated, cyclic nucleotide-gated K+ 1
15166_at	hyperpolarization-activated, cyclic nucleotide-gated K+ 2
15168_at	hyperpolarization-activated, cyclic nucleotide-gated K+ 3
15170_at	protein tyrosine phosphatase, non-receptor type 6
15171_at	hypocretin
15182_at	histone deacetylase 2
15183_at	histone deacetylase 3
15184_at	histone deacetylase 5
15185_at	histone deacetylase 6
15186_at	histidine decarboxylase
15191_at	hepatoma-derived growth factor
15192_at	hepatoma derived growth factor-like 1
15193_at	hepatoma-derived growth factor, related protein 2
15194_at	huntingtin
15199_at	heme binding protein 1
15200_at	heparin-binding EGF-like growth factor
15201_at	helicase, lymphoid specific
15202_at	hematopoietic cell transcript 1
15203_at	hephaestin
15204_at	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 2
15205_at	hairy and enhancer of split 1 (Drosophila)
15206_at	hairy and enhancer of split 2 (Drosophila)
15207_at	hairy and enhancer of split 3 (Drosophila)
15208_at	hairy and enhancer of split 5 (Drosophila)
15209_at	homeobox gene expressed in ES cells
15211_at	hexosaminidase A
15212_at	hexosaminidase B
15213_at	hairy/enhancer-of-split related with YRPW motif 1
15214_at	hairy/enhancer-of-split related with YRPW motif 2
15216_at	hemochromatosis
15218_at	forkhead box N1
15220_at	forkhead box Q1
15221_at	forkhead box D3
15223_at	forkhead box J1
15227_at	forkhead box F1
15228_at	forkhead box G1
15229_at	forkhead box D1
15233_at	homogentisate 1, 2-dioxygenase
15234_at	hepatocyte growth factor
15235_at	macrophage stimulating 1 (hepatocyte growth factor-like)
15239_at	HGF-regulated tyrosine kinase substrate
15242_at	hematopoietically expressed homeobox
15245_at	Hedgehog-interacting protein
15247_at	hippocampus abundant gene transcript 1
15248_at	hypermethylated in cancer 1
15251_at	hypoxia inducible factor 1, alpha subunit
15254_at	histidine triad nucleotide binding protein 1
15257_at	homeodomain interacting protein kinase 1
15258_at	homeodomain interacting protein kinase 2
15259_at	homeodomain interacting protein kinase 3
15260_at	histone cell cycle regulation defective homolog A (S. cerevisiae)
15270_at	H2A histone family, member X
15273_at	human immunodeficiency virus type I enhancer binding protein 2
15275_at	hexokinase 1
15277_at	hexokinase 2
15284_at	H2.0-like homeobox
15285_at	motor neuron and pancreas homeobox 1
15288_at	hydroxymethylbilane synthase
15312_at	high mobility group nucleosomal binding domain 1
15353_at	high mobility group 20B
15354_at	high mobility group box 3
15356_at	3-hydroxy-3-methylglutaryl-Coenzyme A lyase
15357_at	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
15360_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2
15361_at	high mobility group AT-hook 1
15364_at	high mobility group AT-hook 2
15366_at	hyaluronan mediated motility receptor (RHAMM)
15368_at	heme oxygenase (decycling) 1
15369_at	heme oxygenase (decycling) 2
15370_at	nuclear receptor subfamily 4, group A, member 1
15371_at	H6 homeobox 1
15372_at	H6 homeobox 2
15373_at	H6 homeobox 3
15374_at	hematological and neurological expressed sequence 1
15375_at	forkhead box A1
15376_at	forkhead box A2
15377_at	forkhead box A3
15378_at	hepatic nuclear factor 4, alpha
15379_at	one cut domain, family member 1
15381_at	heterogeneous nuclear ribonucleoprotein C
15384_at	heterogeneous nuclear ribonucleoprotein A/B
